review,rating,date,bank,source,bank_id,sentiment_label,sentiment_score,identified_theme
good,5,2025-11-30,CBE,Google Play,1,POSITIVE,0.999816119670868,Other
cbe ይለያል።,5,2025-11-29,CBE,Google Play,1,POSITIVE,0.988647758960724,Other
it's special for me,5,2025-11-29,CBE,Google Play,1,POSITIVE,0.9998202919960022,Other
make it user friendly.,2,2025-11-29,CBE,Google Play,1,POSITIVE,0.9920620918273926,Other
maaliif daddafee install gaafata,3,2025-11-28,CBE,Google Play,1,NEGATIVE,0.9875526428222656,Other
good app,5,2025-11-28,CBE,Google Play,1,POSITIVE,0.9998493194580078,Other
this application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play,1,POSITIVE,0.998467981815338,Transaction Performance
why didn't work this app?,1,2025-11-27,CBE,Google Play,1,NEGATIVE,0.9991324543952942,Other
the app makes our life easier. thank you cbe!,5,2025-11-27,CBE,Google Play,1,POSITIVE,0.9996963739395142,Other
this app very bad 👎,1,2025-11-27,CBE,Google Play,1,NEGATIVE,0.9997968077659608,Other
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play,1,NEGATIVE,0.9565094709396362,Other
good application,4,2025-11-27,CBE,Google Play,1,POSITIVE,0.999854564666748,Other
it is nice app,5,2025-11-26,CBE,Google Play,1,POSITIVE,0.9998478889465332,Other
best,5,2025-11-25,CBE,Google Play,1,POSITIVE,0.9997941851615906,Other
"it suddenly asked me to enter the verification key i received. and it (*get your verification key from the nearest cbe branch*) now i'm in australia, what do you expect me to do???! there is no nearest or furthermost cbe branch!! so frustrating! how can i manage my bank account now????",1,2025-11-25,CBE,Google Play,1,NEGATIVE,0.9993435740470886,Other
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,1,POSITIVE,0.997163951396942,Customer Support
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play,1,NEGATIVE,0.9984826445579528,Other
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,1,NEGATIVE,0.9856644868850708,Other
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play,1,NEGATIVE,0.8832131028175354,Other
wow,5,2025-11-23,CBE,Google Play,1,POSITIVE,0.999592125415802,Other
nice,5,2025-11-22,CBE,Google Play,1,POSITIVE,0.9998552799224854,Other
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play,1,NEGATIVE,0.9818922877311708,Other
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play,1,POSITIVE,0.9998483657836914,Other
excellent,5,2025-11-22,CBE,Google Play,1,POSITIVE,0.9998434782028198,Other
ዳጊ,5,2025-11-21,CBE,Google Play,1,NEGATIVE,0.6970565915107727,Other
absolutely right,5,2025-11-21,CBE,Google Play,1,POSITIVE,0.9998525381088256,Other
mid application it's so annoying,3,2025-11-20,CBE,Google Play,1,NEGATIVE,0.9997883439064026,Other
i used morethan one year,4,2025-11-20,CBE,Google Play,1,NEGATIVE,0.9802079796791076,Other
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play,1,NEGATIVE,0.9920698404312134,Other
"it's great app,i love this app",5,2025-11-20,CBE,Google Play,1,POSITIVE,0.9998750686645508,Other
nice,5,2025-11-19,CBE,Google Play,1,POSITIVE,0.9998552799224854,Other
suckkkks,1,2025-11-19,CBE,Google Play,1,NEGATIVE,0.9737536311149596,Other
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play,1,NEGATIVE,0.9991471767425536,Transaction Performance
i love you this app,5,2025-11-19,CBE,Google Play,1,POSITIVE,0.9998642206192015,Other
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play,1,POSITIVE,0.9993645548820496,Other
make life easy,5,2025-11-19,CBE,Google Play,1,POSITIVE,0.999527096748352,Other
securr,5,2025-11-19,CBE,Google Play,1,NEGATIVE,0.989194393157959,Other
my most optional bank,5,2025-11-17,CBE,Google Play,1,POSITIVE,0.7555266618728638,Other
5 star,5,2025-11-17,CBE,Google Play,1,POSITIVE,0.9964116215705872,Other
it is fantastic app.,5,2025-11-16,CBE,Google Play,1,POSITIVE,0.9998733997344972,Other
sifen,5,2025-11-16,CBE,Google Play,1,NEGATIVE,0.8473550081253052,Other
i like this√,4,2025-11-16,CBE,Google Play,1,POSITIVE,0.9998555183410645,Other
ok,3,2025-11-16,CBE,Google Play,1,POSITIVE,0.9997851252555848,Other
ጥሩ app ነዉ ። የኔ የግል አስተያየት- update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play,1,NEGATIVE,0.9916301369667052,Account Access Issues
